Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2020-01-01,672.2161254882812,680.0087898882745,670.3904712564104,675.9566091562889,14004468
2020-01-02,683.6602172851562,686.1761470483035,673.2848606187108,673.2848606187108,17710316
2020-01-03,684.4840698242188,686.4878962665452,678.1831277621862,682.6360622006584,20984698
2020-01-06,668.609375,680.3651059474896,667.0508300218751,676.8473220199032,24519177
2020-01-07,678.8956909179688,683.3040975466399,673.952886932682,676.4019951208164,16683622
2020-01-08,673.7969970703125,683.2817317108661,672.3943304886236,674.6207976476823,16047902
2020-01-09,689.3154907226562,690.206053788195,681.8568169732863,685.1297254143482,14982742
2020-01-10,689.1596069335938,693.7461255846073,685.5972357997355,691.0520831577536,12478359
2020-01-13,687.4006958007812,694.0800969009713,685.0406443123888,688.0018555733295,18282382
2020-01-14,681.0330200195312,690.2060574437152,677.6710552541097,685.7531231921615,15816535
2020-01-15,678.5616455078125,685.708622508407,676.068009361063,683.9052024938248,15817859
2020-01-16,684.8179931640625,687.244866778881,680.4095869331176,680.8549279318096,12847975
2020-01-17,704.0101928710938,705.7690846391494,691.6310096398801,691.7645940988411,29463471
2020-01-20,682.3466796875,716.4784927540825,679.6971651864098,716.4784927540825,32545850
2020-01-21,683.036865234375,688.3581283514012,677.73783646965,680.6768135829059,18922720
2020-01-22,682.7919311523438,688.7588822425179,681.7900179448524,687.534328261155,10322817
2020-01-23,679.8975219726562,686.6214514994721,677.1589513580537,684.1945779592724,11247739
2020-01-24,677.5374755859375,684.1278207028573,676.201571520967,679.9642896946181,14628445
2020-01-27,670.8580322265625,678.8288097703885,670.1678160991427,674.5762817936037,13387750
2020-01-28,655.3618774414062,672.3944035926318,651.7327433060924,671.7709499162122,24532236
2020-01-29,658.96875,665.4477454950623,651.9330633649719,656.385997983268,24746565
2020-01-30,642.8936157226562,658.9019342560167,641.2237800875757,658.5902371528151,22402689
2020-01-31,628.5994873046875,647.1237307995681,626.6179551138878,647.0123807112609,34750310
2020-02-03,616.9552001953125,623.3897268292178,606.9583616221806,610.0086294911721,30712290
2020-02-04,635.1676635742188,637.8839401729988,622.4322559797637,623.4118752792756,25383901
2020-02-05,645.0087280273438,646.9234982397322,636.9044250553178,638.9527202893477,18472100
2020-02-06,649.14990234375,653.2466113131902,641.2682409254869,647.5023606854987,15538577
2020-02-07,638.3961181640625,646.7231209827357,636.0137726868787,646.121961162775,12209212
2020-02-10,639.264404296875,643.6728102657878,628.065247040691,635.8801458287573,15142476
2020-02-11,646.9012451171875,652.8904307204514,643.4724582072458,644.5188995976021,13999816
2020-02-12,654.716064453125,656.7421844770341,647.9030790730019,648.4151825290611,13533565
2020-02-13,656.4304809570312,658.0335539553153,651.2873305313852,658.0335539553153,13565659
2020-02-14,662.419677734375,668.5869752575289,647.0569900773629,657.8108654922579,21227841
2020-02-17,658.2561645507812,670.6798756802237,656.4972728187931,663.0430895240688,13149130
2020-02-18,653.4247436523438,657.2097556655767,648.97180932506,657.2097556655767,11127161
2020-02-19,669.633544921875,670.8135708716961,656.8536064661794,658.7460829667918,14084409
2020-02-20,661.6849365234375,671.5036613641485,660.7275515499585,666.605445844099,16892268
2020-02-24,643.4279174804688,657.699577615814,641.0233376549481,654.4711971958799,21370214
2020-02-25,630.7147216796875,646.299990125259,627.8648012169732,646.299990125259,27745062
2020-02-26,619.849609375,628.911356956024,617.779020325235,627.8649155292255,29362748
2020-02-27,617.2891845703125,620.6511494965837,609.6078101962304,618.0683975689975,25054993
2020-02-28,591.6400756835938,604.2641917083236,590.0147686027638,603.3290411767952,39315769
2020-03-02,586.0740966796875,609.6078528086264,579.3724007114388,603.4182603911414,29500495
2020-03-03,597.96337890625,602.8838887991839,588.6789907987993,592.1077777316948,27398798
2020-03-04,596.5606689453125,602.8393168736188,582.4003001293128,602.0378101189941,22105261
2020-03-05,583.8475341796875,604.6873035839145,581.5542452021383,602.126845697354,30510390
2020-03-06,565.9689331054688,573.6057788366949,552.654658716733,565.5236515774449,33734039
2020-03-09,496.1245422363281,552.6101067897556,487.5971635409846,552.1870596312644,88187018
2020-03-11,513.669189453125,524.7569973633897,493.3860202311153,493.3860202311153,59578576
2020-03-12,473.3477783203125,490.26895266015714,466.98007386558294,483.14426957764243,55970485
2020-03-13,492.1837158203125,507.6354013912499,419.64530200918597,444.40363928088584,73297403
2020-03-16,452.28533935546875,480.7841591374453,447.5206784786443,472.2567802513006,38482258
2020-03-17,448.8565979003906,472.0118916262875,446.7191870864638,466.3343737158094,45445979
2020-03-18,431.2674865722656,461.28032501489446,427.9277857781092,456.5601919681001,44730415
2020-03-19,408.64654541015625,430.5995508438921,397.29153849959346,409.715250893795,61404010
2020-03-20,453.2872619628906,460.8349919401429,414.1236220114131,418.3539154289049,63360475
2020-03-23,393.6623840332031,423.02953408613564,389.9219001729814,407.9785720617482,40670949
2020-03-24,420.09063720703125,431.935454645914,398.89463871900745,414.1236854654176,45734887
2020-03-25,481.919677734375,512.778550360912,428.9296884312166,429.17459327724464,73130298
2020-03-26,474.7726745605469,497.3491012446338,464.1524132137663,487.95339378494543,45744488
2020-03-27,474.5054931640625,493.07426683799997,465.86679422968973,487.59715574121174,41657940
2020-03-30,458.85345458984375,478.6022562103133,454.20014346811496,463.37321097095526,30229866
2020-03-31,495.94647216796875,503.0934193486525,466.668378147016,478.2237612689132,44292810
2020-04-01,481.1181640625,500.7778787446454,465.42154418897144,499.7314374197435,41597459
2020-04-03,479.7823181152344,505.1641116306193,470.36434505066416,505.1641116306193,41367807
2020-04-07,537.0693969726562,540.587180545846,489.82365880229355,490.7587797499459,54373624
2020-04-08,530.8575439453125,547.2666748233642,516.5413553079427,525.4472243442474,49880330
2020-04-09,543.2367553710938,548.9587723530421,531.2360897019119,540.5872407700642,33032857
2020-04-13,529.5216674804688,541.0325221376103,525.4471928092958,536.1120125498173,23673784
2020-04-15,512.0215454101562,550.3836477833194,508.97127785494433,533.0394274350746,35321842
2020-04-16,520.1259155273438,528.7646148704049,509.8619089009577,512.0215540116548,37455706
2020-04-17,545.0400390625,547.7118467989294,531.0800784676695,541.4777278308106,33269335
2020-04-20,553.8569946289062,559.7348298724658,535.2436911572639,545.9307453957434,36030932
2020-04-21,550.9848022460938,557.5083250081677,518.3224819342147,538.8059664932713,61371628
2020-04-22,607.2032470703125,616.6880417343276,578.8825664491623,587.7884356237253,142683366
2020-04-23,610.4539184570312,617.1110859522549,602.6167250854138,608.8731391707544,65464502
2020-04-24,630.98193359375,665.6926093550011,599.9003914322975,601.2140016546114,134986308
2020-04-27,636.6593627929688,656.8089146894805,633.6536236053566,638.5518388221476,58482901
2020-04-28,635.9469604492188,648.1034431126441,619.9163502379175,645.6766291201964,78453401
2020-04-29,635.41259765625,647.3019715047586,632.3178017703171,643.4056688448253,37494672
2020-04-30,652.8014526367188,665.6927417606581,640.3555045759841,647.4356605740215,71345899
2020-05-04,639.0862426757812,652.3559877170559,631.1822287393294,641.2236532680045,53456868
2020-05-05,650.4190673828125,658.5902520124664,644.4298814250894,647.3243306346986,44903763
2020-05-06,650.4635620117188,661.2396721044524,643.6728107196592,651.9107566845831,40489094
2020-05-07,671.0361938476562,674.019699350152,643.4502566899976,647.9031914144758,50026966
2020-05-08,695.4605102539062,703.5202838378564,684.4617003890888,687.9795431758226,84262770
2020-05-11,702.1399536132812,719.1501837188379,700.1361272712575,703.564854514178,67085063
2020-05-12,658.701416015625,698.3771867058508,652.3560060092849,696.7963482041542,100683202
2020-05-13,672.6770629882812,686.409748828676,653.5951127082542,686.409748828676,66430125
2020-05-14,645.4812622070312,672.789324791763,642.8291322565639,660.3377319199246,49266771
2020-05-15,656.0224609375,659.3039301915819,636.1089238922658,649.0999085460102,62152260
2020-05-18,647.6390380859375,666.1815376925038,641.9077470485184,660.7873884161261,62796089
2020-05-19,633.3219604492188,657.0564195102567,630.7822503273412,654.9436803175768,42315854
2020-05-20,644.469970703125,650.3810982575258,626.1746653038855,633.8164459231173,55320985
2020-05-21,647.86376953125,656.9439458804737,640.5591310175457,645.054274887475,39167981
2020-05-22,643.5034790039062,655.3931503743523,641.233434844536,652.6061872445827,37828973
2020-05-26,640.132080078125,651.6621368125705,636.6483020759156,650.9653812121286,33216635
2020-05-27,649.7966918945312,653.5950802585778,634.7154397533718,643.2562252592883,35667956
2020-05-28,661.7987060546875,665.1700639694456,651.3474905739236,654.0445650157022,40126278
2020-05-29,658.27001953125,661.6863216286777,652.9882315987021,659.8882522484166,40022527
2020-06-01,683.42041015625,691.5116927649323,663.4619289082036,665.282470467664,39943702
2020-06-02,690.3204345703125,692.2533963499591,683.622663148201,685.9601831154127,22153960
2020-06-03,692.9950561523438,701.2436433909791,689.2640251716484,694.5009280550352,25381289
2020-06-04,710.1441040039062,714.5044150378368,692.7029193183236,694.0514268333575,34202350
2020-06-05,710.9981079101562,727.3155053046211,707.4019692570653,716.9766512645857,33076685
2020-06-08,705.5140380859375,727.495369555277,703.4912471731864,727.495369555277,31414953
2020-06-09,690.9722900390625,711.5825840206448,689.1068040465735,701.3785617206731,25857161
2020-06-10,706.705322265625,710.0317358884901,692.2758817982025,693.6468614517847,22132647
2020-06-11,691.219482421875,704.8172743086072,688.2077385143969,703.9407414982666,20385805
2020-06-12,714.1897583007812,716.0777164159133,672.9242267053721,674.2727936948124,38548899
2020-06-15,725.7647094726562,731.3386948164322,701.7381151752447,703.491240249132,53107403
2020-06-16,727.1807861328125,741.0483050918923,712.6164520349436,738.5535392456209,51187003
2020-06-17,726.124267578125,735.1594986224297,720.168196664816,722.9326872477296,41782053
2020-06-18,744.3521118164062,748.4426971382073,721.7415020695015,722.3708411805889,40471557
2020-06-19,790.8770751953125,804.092782405198,747.094304408189,750.6903840730492,105804173
2020-06-22,784.9209594726562,811.0152901303186,779.90883714488,797.1702444845414,60198705
2020-06-23,773.5706787109375,792.83240486235,771.4129953643138,786.6515522559022,37962078
